"ID_ESTADO","LISTA_NOMINAL","cid_ng1","cid_ng3","cid_ng5","cid_ng10","cid_ng15","cid_ng20","cid_ng25","cid_ng32"
1,945135,1,1,1,1,1,1,1,1
2,2734197,1,2,2,2,2,2,2,2
3,516366,1,2,3,3,3,3,3,3
4,642407,1,2,4,4,4,4,4,4
5,2157246,1,1,1,1,5,5,5,5
6,531888,1,2,4,4,4,6,6,6
7,3543715,1,2,2,5,6,7,7,7
8,2748296,1,1,1,1,5,5,8,8
9,7656872,1,2,2,5,7,8,9,9
10,1284462,1,1,1,1,5,5,8,10
11,4371063,1,1,1,6,8,9,10,11
12,2516291,1,2,2,5,9,10,11,12
13,2122655,1,2,2,2,10,11,12,13
14,5913412,1,3,5,7,11,12,13,14
15,11842183,1,2,4,4,4,13,14,15
16,3387180,1,2,4,8,12,14,15,16
17,1442852,1,2,2,5,7,15,16,17
18,848898,1,2,2,2,2,2,17,18
19,3906713,1,3,5,9,13,16,18,19
20,2869995,1,2,2,2,10,11,12,20
21,4514760,1,2,4,4,4,13,19,21
22,1585372,1,1,1,6,14,17,20,22
23,1209354,1,2,2,2,2,2,2,23
24,1979474,1,2,4,8,12,18,21,24
25,2138199,1,2,4,4,4,19,22,25
26,2103895,1,2,4,4,4,4,4,26
27,1688644,1,2,2,10,15,20,23,27
28,2633034,1,1,1,6,14,17,20,28
29,923272,1,2,2,2,2,2,17,29
30,5783916,1,2,3,3,3,3,24,30
31,1545092,1,1,1,1,1,1,1,31
32,1167505,1,2,4,4,4,6,25,32
