EDO,PAN,PRI,PRD,PVEM,PT,MORENA
1,1,0,0,0,0,1
2,0,1,0,0,0,0
3,0,1,0,0,0,1
4,0,1,0,0,0,1
5,0,1,0,0,0,1
6,0,0,1,0,1,0
7,0,1,0,0,0,0
8,1,0,0,0,0,1
9,0,0,1,0,0,1
10,0,1,0,0,0,1
11,0,0,0,1,0,0
12,0,0,1,0,0,0
13,0,0,1,0,0,0
14,0,1,0,1,0,0
15,0,1,0,0,0,1
16,1,0,0,0,0,1
17,0,0,1,1,0,0
18,0,1,0,0,0,1
19,1,0,0,0,1,0
20,0,0,0,0,0,0
21,1,0,0,0,1,0
22,1,0,0,0,0,0
23,0,0,1,0,0,1
24,0,1,0,0,0,0
25,1,0,0,0,0,0
26,1,0,0,0,0,0
27,0,1,0,0,0,0
28,0,1,0,0,0,0
29,0,0,1,0,0,0
30,0,0,1,0,1,0
31,1,0,0,1,0,0
32,0,0,1,0,0,1
