EDO,PAN,PRI,PRD,PVEM,PT,MORENA
1,1,0,0,0,0,1
2,1,0,0,0,0,0
3,1,0,0,0,1,0
4,0,1,0,0,0,1
5,0,1,0,0,0,1
6,0,1,0,1,0,0
7,0,0,1,0,0,0
8,1,0,0,0,0,1
9,0,1,0,0,0,1
10,1,0,0,0,1,0
11,0,0,0,0,0,1
12,0,1,0,0,0,0
13,0,1,0,0,0,0
14,1,0,0,0,0,1
15,1,0,0,0,0,1
16,0,0,1,0,1,0
17,0,1,0,0,0,1
18,1,0,0,1,0,0
19,0,1,0,1,0,0
20,0,0,0,0,0,0
21,0,1,0,0,0,1
22,1,0,0,0,0,0
23,1,0,0,0,0,1
24,1,0,0,0,0,0
25,0,1,0,0,0,0
26,0,1,0,0,0,0
27,0,0,1,0,0,0
28,1,0,0,0,0,0
29,0,1,0,0,0,0
30,1,0,0,0,0,1
31,0,1,0,0,0,1
32,0,1,0,0,0,1
